869620,MPK Autobusy,149,06:56:00,06:58:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
869660,MPK Autobusy,149,08:22:00,08:24:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
869663,MPK Autobusy,149,08:56:00,08:58:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
869703,MPK Autobusy,149,10:22:00,10:25:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
869706,MPK Autobusy,149,11:05:00,11:07:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
869746,MPK Autobusy,149,12:22:00,12:25:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
869749,MPK Autobusy,149,13:05:00,13:07:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
869789,MPK Autobusy,149,14:22:00,14:25:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
869792,MPK Autobusy,149,15:05:00,15:07:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
869832,MPK Autobusy,149,16:22:00,16:25:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
869835,MPK Autobusy,149,17:05:00,17:07:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
869875,MPK Autobusy,149,18:22:00,18:25:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
869878,MPK Autobusy,149,19:05:00,19:07:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
869918,MPK Autobusy,149,20:20:00,20:23:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
869921,MPK Autobusy,149,21:00:00,21:02:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
869961,MPK Autobusy,149,22:07:00,22:10:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
869964,MPK Autobusy,149,22:45:00,22:47:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870032,MPK Autobusy,149,05:52:00,05:54:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870035,MPK Autobusy,149,06:26:00,06:28:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870075,MPK Autobusy,149,07:52:00,07:54:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870078,MPK Autobusy,149,08:26:00,08:28:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870118,MPK Autobusy,149,09:52:00,09:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870121,MPK Autobusy,149,10:35:00,10:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870161,MPK Autobusy,149,11:52:00,11:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870164,MPK Autobusy,149,12:35:00,12:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870204,MPK Autobusy,149,13:52:00,13:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870207,MPK Autobusy,149,14:35:00,14:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870247,MPK Autobusy,149,15:52:00,15:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870250,MPK Autobusy,149,16:35:00,16:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870290,MPK Autobusy,149,17:52:00,17:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870293,MPK Autobusy,149,18:35:00,18:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870333,MPK Autobusy,149,19:52:00,19:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870336,MPK Autobusy,149,20:30:00,20:32:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870376,MPK Autobusy,149,21:37:00,21:40:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870379,MPK Autobusy,149,22:30:00,22:32:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870430,MPK Autobusy,149,09:35:00,09:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870470,MPK Autobusy,149,10:52:00,10:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870473,MPK Autobusy,149,11:35:00,11:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870513,MPK Autobusy,149,12:52:00,12:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870516,MPK Autobusy,149,13:35:00,13:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870556,MPK Autobusy,149,14:52:00,14:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870559,MPK Autobusy,149,15:35:00,15:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870599,MPK Autobusy,149,16:52:00,16:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870602,MPK Autobusy,149,17:35:00,17:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870642,MPK Autobusy,149,18:52:00,18:55:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870645,MPK Autobusy,149,19:35:00,19:37:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870685,MPK Autobusy,149,20:42:00,20:45:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870688,MPK Autobusy,149,21:30:00,21:32:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870728,MPK Autobusy,149,22:37:00,22:40:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870777,MPK Autobusy,149,09:26:00,09:29:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870780,MPK Autobusy,149,10:05:00,10:07:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870820,MPK Autobusy,149,11:22:00,11:25:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870823,MPK Autobusy,149,12:05:00,12:07:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870863,MPK Autobusy,149,13:22:00,13:25:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870866,MPK Autobusy,149,14:05:00,14:07:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870906,MPK Autobusy,149,15:22:00,15:25:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870909,MPK Autobusy,149,16:05:00,16:07:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870949,MPK Autobusy,149,17:22:00,17:25:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
870952,MPK Autobusy,149,18:05:00,18:07:00,most Grunwaldzki,Poczta Główna,51.11013606,17.05509252,51.1078565,17.04563742
870992,MPK Autobusy,149,19:22:00,19:25:00,most Grunwaldzki,PL. GRUNWALDZKI,51.11013327,17.0555734,51.11218871,17.06335752
